Cr1             0.00000000   -0.14258222   -0.07483789    4.9247    3.7821
Cr2            -0.00000000    0.14258222    6.24483789    4.9251    3.7814
Cr3             1.96699985    3.54952624    0.07483789    4.9255    3.7821
Cr4             1.96699985    3.26436181    6.09516211    4.9250    3.7823
Cr5             1.96699985   -3.26436181    0.07483789    4.9258    3.7819
Cr6             1.96699985   -3.54952624    6.09516211    4.9252    3.7821
Cr7             3.93399970   -0.14258222   -0.07483789    4.9252    3.7820
Cr8             3.93399970    0.14258222    6.24483789    4.9250    3.7820
Cr9             0.00000000    0.00000000    3.08500000    5.0369    3.9429
Cr10            1.96699985    3.40694402    9.25500000    5.0362    3.9429
Cr11            1.96699985   -3.40694402    9.25500000    5.0371    3.9421
Cr12            3.93399970    0.00000000    3.08500000    5.0360    3.9426
Cr1 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr2 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr3 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr4 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr5 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr6 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr7 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr8 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr9 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr10 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr11 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr12 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
   Cr11  Cr10  (  0,  -1,   0) -0.8913   (-3.934,  0.000,  0.000)  3.934 
   Cr9   Cr12  (  0,   0,   0) -0.9245   ( 3.934,  0.000,  0.000)  3.934 
   Cr12  Cr9   (  0,   0,   0) -0.9245   (-3.934,  0.000,  0.000)  3.934 
   Cr3   Cr5   (  0,   1,   0)  3.6443   ( 3.934, -0.000,  0.000)  3.934 
   Cr5   Cr3   (  1,   0,   0)  3.7092   ( 3.934,  0.000,  0.000)  3.934 
   Cr12  Cr9   (  1,   1,   0) -1.0001   ( 3.934,  0.000,  0.000)  3.934 
   Cr6   Cr4   (  0,  -1,   0)  3.7427   (-3.934,  0.000,  0.000)  3.934 
   Cr4   Cr6   (  0,   1,   0)  3.7427   ( 3.934, -0.000,  0.000)  3.934 
   Cr1   Cr7   (  0,   0,   0)  3.7145   ( 3.934, -0.000,  0.000)  3.934 
   Cr2   Cr8   (  0,   0,   0)  3.7532   ( 3.934,  0.000,  0.000)  3.934 
   Cr7   Cr1   (  0,   0,   0)  3.7145   (-3.934,  0.000,  0.000)  3.934 
   Cr8   Cr2   (  0,   0,   0)  3.7532   (-3.934, -0.000,  0.000)  3.934 
   Cr1   Cr5   ( -1,   0,   0)  4.3525   (-1.967,  3.692,  0.150)  4.186 
   Cr4   Cr8   ( -1,   0,   0)  4.2893   (-1.967,  3.692,  0.150)  4.186 
   Cr2   Cr4   (  0,  -1,   0)  4.3178   (-1.967, -3.692, -0.150)  4.186 
   Cr4   Cr2   (  0,   1,   0)  4.3178   ( 1.967,  3.692,  0.150)  4.186 
   Cr5   Cr1   (  1,   0,   0)  4.3525   ( 1.967, -3.692, -0.150)  4.186 
   Cr5   Cr7   (  0,  -1,   0)  4.3637   (-1.967, -3.692, -0.150)  4.186 
   Cr7   Cr5   (  0,   1,   0)  4.3637   ( 1.967,  3.692,  0.150)  4.186 
   Cr8   Cr4   (  1,   0,   0)  4.2893   ( 1.967, -3.692, -0.150)  4.186 
   Cr1   Cr3   (  0,   0,   0)  4.3633   ( 1.967,  3.692,  0.150)  4.186 
   Cr3   Cr1   (  0,   0,   0)  4.3633   (-1.967, -3.692, -0.150)  4.186 
